blind_id,call_id,item_id,condition,model,run,task_verb,score,completion_tokens
B0001,c60eff70-5d55-44f6-80e6-41ad26144548,HIS-009,A,claude-sonnet-4.5,2,summarize,0,314
B0002,63953c9d-ae11-4891-8bd9-15b01da0c422,HIS-001,A,claude-sonnet-4.5,3,describe,0,313
B0003,28a40cc7-5b79-4d21-8394-7b9fa0d6df3b,HIS-009,B,gemini-2.0-flash,1,summarize,1,464
B0004,021f1b0f-ea87-4a48-81fc-8bfda2b80c3b,HIS-001,B,gpt-4o,3,describe,0,178
B0005,5792d71e-9568-44af-a2e4-5d55599f4339,HIS-001,C,gpt-4o,1,describe,0,426
B0006,cacde32f-492f-441b-b7e2-9f24ac230689,HIS-008,C,gpt-4o,3,write,0,394
B0007,b1790c54-5c89-4bc3-b1f1-fbb06fece177,HIS-003,B,gpt-4o,3,write,0,171
B0008,146ba896-efb9-408a-848e-556fc257d9cf,HIS-009,C,claude-sonnet-4.5,2,summarize,0,354
B0009,07836d4e-928f-4db0-b3f4-0a9ca43e39d4,HIS-005,C,gpt-4o,3,compare,0,580
B0010,7beadf2b-8a81-4c64-bd25-6597e87a4d12,HIS-003,B,gemini-2.0-flash,2,write,0,380
B0011,a2cadf22-9a6c-45a4-9d23-f13a6c10e87f,HIS-002,A,gemini-2.0-flash,1,explain,0,517
B0012,150593b2-bcb6-4167-ab0c-678b02f7f8e1,HIS-001,A,claude-sonnet-4.5,2,describe,0,306
B0013,2273dea7-a227-465e-82e8-3687b558d5d8,HIS-005,A,gpt-4o,2,compare,0,446
B0014,061e273c-8797-43d3-9abc-d4eefb083152,HIS-010,C,gpt-4o,1,compare,0,453
B0015,bd72dd14-5e3a-49ff-8a98-2070af0fc1fb,HIS-006,A,claude-sonnet-4.5,2,describe,0,331
B0016,c7c95416-247d-4527-979c-d920a91177af,HIS-002,C,claude-sonnet-4.5,2,explain,0,317
B0017,7ef00867-7a47-43f9-a14c-6af9757ce6c3,HIS-007,B,gpt-4o,1,explain,2,94
B0018,03c7b0e0-e03d-4d78-9821-d1552b083b07,HIS-006,B,gemini-2.0-flash,2,describe,0,275
B0019,a1c2e79f-a23a-44da-ac6d-1d386f9a9ef7,HIS-006,B,gpt-4o,1,describe,0,153
B0020,18f81435-7663-4b94-97b7-fd3cf360a8a4,HIS-004,C,gemini-2.0-flash,2,summarize,0,563
B0021,0acd980f-5dd7-4132-b78c-b6fb55987424,HIS-001,A,gemini-2.0-flash,3,describe,0,732
B0022,e0b04f4f-009c-4927-a5a8-a173e5b2cc49,HIS-007,A,claude-sonnet-4.5,3,explain,0,310
B0023,47ed37d0-13e7-4c33-a283-441bd1813093,HIS-004,B,gemini-2.0-flash,2,summarize,2,178
B0024,3cf5631a-237e-426c-81f3-e468206e04e1,HIS-010,A,gemini-2.0-flash,1,compare,2,963
B0025,4fc8c6f9-a7e3-41c1-9890-37bc22120b9f,HIS-006,C,claude-sonnet-4.5,1,describe,0,395
B0026,d05b957e-7145-4758-a20c-3dd21ae53665,HIS-001,A,claude-sonnet-4.5,1,describe,0,306
B0027,90134814-e1e8-417e-9ece-3e27582bc84e,HIS-005,A,gpt-4o,1,compare,0,343
B0028,3ebe8a53-a381-443e-84f3-171d829f9435,HIS-001,C,gemini-2.0-flash,1,describe,0,908
B0029,150d9393-9c9d-46a0-8c91-1303c739f789,HIS-001,B,gpt-4o,2,describe,0,130
B0030,028471b6-156b-4d4c-8dff-b76d06a0e526,HIS-005,A,gpt-4o,3,compare,0,359
B0031,59eaeb8e-2263-418c-9480-47e28df483b7,HIS-001,A,gemini-2.0-flash,2,describe,0,783
B0032,46e8aacc-761d-4854-aa97-7364c82f3d22,HIS-001,C,gemini-2.0-flash,3,describe,0,880
B0033,1af538f4-d5b1-4b5e-ad44-ecc0be644229,HIS-010,A,gpt-4o,1,compare,2,248
B0034,f133cc5e-667f-45db-93fa-f303d2fbb11c,HIS-003,A,claude-sonnet-4.5,1,write,2,222
B0035,9fd38bf1-71cf-4776-80b5-4d12cfa2183d,HIS-009,C,gpt-4o,1,summarize,0,371
B0036,6b94021f-a3a8-47af-8c04-acecaf274a76,HIS-004,A,gpt-4o,3,summarize,0,176
B0037,d43c4b13-5ef5-434b-898f-822c4bffb030,HIS-009,B,gpt-4o,2,summarize,2,264
B0038,1a22b0cc-863a-406e-9c88-601497c77b57,HIS-005,C,claude-sonnet-4.5,2,compare,0,375
B0039,9cc2db4d-64d4-404e-b851-afb37cf6b881,HIS-007,B,gemini-2.0-flash,1,explain,0,60
B0040,0a53078d-8f81-443d-bdca-8ba3c29042f0,HIS-005,C,gpt-4o,1,compare,0,599
B0041,c4817bad-fa4a-4289-8a4b-8647ed0f5480,HIS-008,C,claude-sonnet-4.5,3,write,0,336
B0042,79cc26d3-675a-494a-991b-6f177fc1b757,HIS-009,B,claude-sonnet-4.5,1,summarize,2,272
B0043,9ccd4172-68d2-4e45-af58-5f9b43f8507e,HIS-008,C,claude-sonnet-4.5,2,write,0,317
B0044,831fba24-28e3-4039-8ad7-a96948e63bef,HIS-008,C,gpt-4o,1,write,0,451
B0045,bf2ccfa8-1f63-45bc-9829-8a7b27da055f,HIS-003,A,gemini-2.0-flash,1,write,0,147
B0046,d8e08ec2-7898-4563-b1eb-d7457eb89469,HIS-002,C,gpt-4o,1,explain,0,384
B0047,623839c4-0266-491a-a156-64173d5326fb,HIS-008,A,gpt-4o,3,write,2,295
B0048,5a15ba68-901c-4e19-bf1e-52f5e2ec0720,HIS-008,B,claude-sonnet-4.5,2,write,2,237
B0049,0e273a65-a39b-4bf1-ab1c-6489723e66bf,HIS-010,A,gpt-4o,2,compare,2,220
B0050,8c21d911-a740-4112-bda5-28e019e0531d,HIS-001,A,gemini-2.0-flash,1,describe,0,732
B0051,fc65684a-b981-4d1f-b3ec-040f136ca7bf,HIS-002,B,claude-sonnet-4.5,3,explain,0,162
B0052,ac04ae84-ad6a-4a53-a7f8-e054eb942bc0,HIS-003,B,claude-sonnet-4.5,2,write,2,251
B0053,3b2ca6ab-0341-42b1-90e4-0308abaecc59,HIS-007,B,claude-sonnet-4.5,1,explain,2,119
B0054,daaf77d2-1d8d-4ac9-9d3f-36cafd592aa6,HIS-003,B,gemini-2.0-flash,3,write,0,380
B0055,0aa03faf-edab-4632-80f7-3273722299e4,HIS-010,C,claude-sonnet-4.5,3,compare,0,334
B0056,fb379e6a-78ab-4ee9-b49d-6f716a26bafa,HIS-007,A,gemini-2.0-flash,3,explain,2,519
B0057,91c9c9ef-e49d-4a6b-b540-9ed1967ba5f9,HIS-001,B,claude-sonnet-4.5,2,describe,0,211
B0058,dcbecd34-8ca8-4db8-8701-2fa30446f416,HIS-005,B,claude-sonnet-4.5,1,compare,0,237
B0059,a84e9126-fcd8-4cb7-88e8-f71238ab579c,HIS-007,B,gemini-2.0-flash,2,explain,0,60
B0060,293a2d83-df53-483e-a845-2bde0073b75b,HIS-001,B,gemini-2.0-flash,3,describe,0,332
B0061,d3a7ed7e-6eb6-43bd-9291-44153b806af0,HIS-008,A,claude-sonnet-4.5,1,write,2,325
B0062,e2150b13-286f-404e-ad0e-42f80348884e,HIS-010,A,claude-sonnet-4.5,1,compare,0,321
B0063,045a2542-564f-4702-b1e4-b71c0b187df7,HIS-007,C,gemini-2.0-flash,1,explain,0,747
B0064,5d81fb81-ff99-4f0b-a661-8bc6160eb5e0,HIS-007,C,claude-sonnet-4.5,3,explain,0,337
B0065,938971f4-cc5d-40c5-a9c7-b80899db1cf8,HIS-004,C,gpt-4o,1,summarize,0,376
B0066,92227472-c033-4a68-a189-dc6a816f372d,HIS-006,C,gpt-4o,3,describe,0,383
B0067,ded2ee91-a2cd-47ea-9c89-2bb80a00476a,HIS-004,C,gemini-2.0-flash,1,summarize,0,563
B0068,2015e581-45b4-42d7-8c98-077a93a9c08a,HIS-009,A,claude-sonnet-4.5,3,summarize,2,308
B0069,3f396e02-e402-49b7-9fdc-b89feac402f2,HIS-003,B,claude-sonnet-4.5,1,write,2,239
B0070,9a176f55-01f3-439d-8aab-dd8194f9cb6b,HIS-004,C,gpt-4o,2,summarize,0,350
B0071,a463add3-b3ad-4dbd-914f-a474da74cc0e,HIS-002,C,claude-sonnet-4.5,3,explain,0,315
B0072,23e691f1-d79c-4b0c-8f5b-d52d510ea08f,HIS-006,C,gemini-2.0-flash,1,describe,0,870
B0073,2c328670-0ec8-412a-a912-c65b3f3cdd4e,HIS-002,B,gemini-2.0-flash,1,explain,0,304
B0074,a7402ac1-8b32-440a-a176-6b2bf62b838c,HIS-009,C,gpt-4o,3,summarize,0,326
B0075,7e6c508b-5a63-48b0-995e-9de716e4911b,HIS-008,A,gemini-2.0-flash,3,write,2,372
B0076,22f70401-4e3c-4b05-8bc4-c54bc6a13f4b,HIS-002,A,gemini-2.0-flash,2,explain,0,617
B0077,4ab0ee73-abf8-478f-81f0-fd477c30311f,HIS-006,B,gemini-2.0-flash,1,describe,0,242
B0078,d3a32ce6-4400-4ec2-bac5-2409dc0b1cd3,HIS-001,C,gpt-4o,2,describe,0,505
B0079,9e9da3e5-101a-401c-a375-1267afe21e8a,HIS-007,B,gpt-4o,3,explain,2,95
B0080,7c9a1ecd-114e-4ae4-ba96-4865f286dc92,HIS-003,C,gpt-4o,2,write,0,149
B0081,4003cba4-a0c8-47a8-89e5-5b4101a35f58,HIS-010,C,gemini-2.0-flash,1,compare,0,990
B0082,484d8b4a-db5a-400c-905d-28013cc40874,HIS-005,C,claude-sonnet-4.5,3,compare,0,359
