blind_id,call_id,item_id,condition,model_label,model_snapshot,run,task_verb,score,notes,response_len,response_empty
B0001,22bad2e9-b0d4-4bcb-9816-032110fbd351,HIS-002,A,gpt-4o,openai/gpt-4o,1,explain,0,,1665,0
B0002,d231538e-a8f9-45c8-97e0-6650c8c8ef62,HIS-008,B,gemini-1.5-pro,google/gemini-2.5-pro,1,write,0,,102,0
B0003,ea955758-896f-4e18-b851-01c208f70f1e,HIS-003,A,gemini-1.5-pro,google/gemini-2.5-pro,1,write,1,,118,0
B0004,2759b4c1-35af-4112-a31c-1415dcb4e2b8,HIS-006,B,gpt-4o,openai/gpt-4o,3,describe,0,,829,0
B0005,55971811-fea8-443c-a2c0-8bc4a66d5192,HIS-010,C,gpt-4o,openai/gpt-4o,3,compare,0,,2469,0
B0006,fb110e90-0039-4974-81b2-62b8e6aaa701,HIS-006,B,gemini-1.5-pro,google/gemini-2.5-pro,3,describe,0,,116,0
B0007,23e2d984-9298-40e7-9e20-947ee3203fef,HIS-008,C,gemini-1.5-pro,google/gemini-2.5-pro,1,write,0,,125,0
B0008,d6e18826-9752-43f8-96bb-b44c7cc91f94,HIS-002,B,gpt-4o,openai/gpt-4o,2,explain,0,,457,0
B0009,25e000cc-e6ac-4160-95a9-d92d60134e5c,HIS-010,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,compare,0,,1374,0
B0010,9fbbec39-8123-4de8-84b8-12464bcb7917,HIS-009,B,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,summarize,1,,1322,0
B0011,b8e7e094-4f22-4264-b0b5-2636470ccb81,HIS-005,A,gemini-1.5-pro,google/gemini-2.5-pro,3,compare,1,,113,0
B0012,8e8d63cf-46c6-4d19-88d7-97036d90fa20,HIS-001,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,describe,0,,1392,0
B0013,2428cbe2-498a-4b19-8edd-29e0243ef253,HIS-003,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,3,write,0,,1068,0
B0014,81829a03-a37e-4e26-8123-aff1c5ed2436,HIS-007,A,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,2,explain,0,,1436,0
B0015,2a4e85c2-afbe-48d0-be36-1e3cdae5e99b,HIS-009,C,claude-sonnet,anthropic/claude-4.5-sonnet-20250929,1,summarize,0,,1604,0
