blind_id,condition,item_id,J1,J2,J3,J4,J5,median,plurality,agreement,spread
B0212,A,HIS-006,0,0,0,1,2,0,0,3/5,2
B0063,C,HIS-007,0,0,0,0,2,0,0,4/5,2
B0062,A,HIS-010,0,0,0,0,0,0,0,5/5,0
B0074,C,HIS-009,0,0,0,0,2,0,0,4/5,2
B0112,B,HIS-002,0,0,0,0,0,0,0,5/5,0
B0206,C,HIS-008,0,0,0,0,2,0,0,4/5,2
B0215,C,HIS-004,0,0,0,0,2,0,0,4/5,2
B0146,A,HIS-003,0,0,0,0,0,0,0,5/5,0
B0013,A,HIS-005,0,0,0,0,0,0,0,5/5,0
B0120,C,HIS-004,0,0,0,0,2,0,0,4/5,2
B0095,B,HIS-006,0,0,0,0,0,0,0,5/5,0
B0045,A,HIS-003,0,0,0,0,0,0,0,5/5,0
B0024,A,HIS-010,0,3,0,2,0,0,0,3/5,3
B0014,C,HIS-010,0,0,0,0,2,0,0,4/5,2
B0128,A,HIS-003,0,0,0,0,0,0,0,5/5,0
B0158,C,HIS-009,0,0,0,0,2,0,0,4/5,2
B0029,B,HIS-001,1,0,0,0,1,0,0,3/5,1
B0251,B,HIS-006,0,0,0,0,0,0,0,5/5,0
B0140,B,HIS-010,0,0,0,0,0,0,0,5/5,0
B0198,C,HIS-010,0,0,0,0,2,0,0,4/5,2
B0059,B,HIS-007,0,0,0,0,0,0,0,5/5,0
B0268,A,HIS-004,0,0,0,0,0,0,0,5/5,0
B0135,A,HIS-007,0,0,0,0,0,0,0,5/5,0
B0042,B,HIS-009,0,0,0,0,1,0,0,4/5,1
B0017,B,HIS-007,0,0,0,0,0,0,0,5/5,0
B0089,C,HIS-008,0,0,0,0,2,0,0,4/5,2
B0054,B,HIS-003,0,0,0,0,0,0,0,5/5,0
B0207,B,HIS-010,0,0,0,0,0,0,0,5/5,0
B0249,B,HIS-003,0,0,0,0,1,0,0,4/5,1
B0176,A,HIS-008,0,0,0,0,1,0,0,4/5,1
